epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0
1,76.7637,1.71468,1.90908,1.85112,0.10563,0.27921,0.25603,0.25404,0.15777,1.34349,1.41451,1.52451,0.00721,0.000995074
2,111.405,1.41421,1.33487,1.45107,0.01295,0.3442,0.31455,0.30485,0.19125,1.25012,1.25574,1.38842,0.008,0.00091
3,146.879,1.35716,1.26882,1.34976,0.01263,0.37873,0.32803,0.32324,0.20493,1.20418,1.18904,1.31411,0.00949,0.000865
4,179.69,1.32716,1.23548,1.24985,0.01475,0.41988,0.33042,0.33902,0.21688,1.17631,1.17045,1.22902,0.01139,0.00082
5,220.943,1.29668,1.2025,1.21302,0.01354,0.44139,0.3313,0.34766,0.22332,1.16431,1.1488,1.2204,0.01098,0.000775
6,259.021,1.29138,1.19401,1.19395,0.01255,0.42705,0.34612,0.35173,0.22703,1.14895,1.1259,1.21113,0.00979,0.00073
7,297.701,1.28007,1.17992,1.18714,0.01133,0.44523,0.34812,0.36111,0.23466,1.13134,1.09074,1.19925,0.00951,0.000685
8,325.362,1.25829,1.15988,1.18215,0.01041,0.46202,0.34469,0.36027,0.23396,1.13501,1.11328,1.20043,0.00931,0.00064
9,368.065,1.25953,1.15804,1.17085,0.01041,0.44748,0.35576,0.36875,0.24102,1.11863,1.09103,1.18856,0.00854,0.000595
10,400.219,1.25313,1.15,1.16999,0.00974,0.45578,0.35476,0.36987,0.24139,1.11244,1.07367,1.17859,0.00833,0.00055
11,457.422,1.17587,1.09175,1.15965,0.00908,0.45965,0.36571,0.37929,0.24897,1.09769,1.04688,1.17556,0.00777,0.000505
12,496.382,1.1688,1.08559,1.16041,0.00882,0.52277,0.3434,0.3821,0.25043,1.10199,1.07909,1.17818,0.00788,0.00046
13,537.235,1.16692,1.07859,1.15868,0.00846,0.48446,0.36517,0.38414,0.25232,1.09636,1.04624,1.17512,0.00756,0.000415
14,568.353,1.16488,1.0774,1.15728,0.00859,0.49038,0.36112,0.38402,0.25345,1.09181,1.0377,1.16951,0.0081,0.00037
15,596.534,1.16191,1.07352,1.15201,0.00855,0.47064,0.3654,0.38329,0.25162,1.09226,1.04791,1.17107,0.00756,0.000325
16,648.549,1.16116,1.06911,1.15221,0.00824,0.49463,0.35794,0.38787,0.255,1.09126,1.04188,1.16971,0.00756,0.00028
17,676.577,1.15319,1.06386,1.14739,0.0081,0.45815,0.37575,0.38898,0.25569,1.08621,1.03574,1.16419,0.00769,0.000235
18,705.863,1.15552,1.06902,1.14753,0.00819,0.47462,0.37351,0.38964,0.25629,1.08562,1.03741,1.1639,0.0075,0.00019
19,742.8,1.1556,1.06442,1.14636,0.00826,0.52251,0.35689,0.39173,0.25725,1.0861,1.03448,1.16527,0.00753,0.000145
20,786.911,1.15576,1.06404,1.1453,0.00821,0.46692,0.37747,0.3914,0.25765,1.0852,1.03429,1.16246,0.00757,0.0001
