family,level,altitude_m,horizontal_distance_m,range_std_m,aoa_std_deg,attitude_std_deg,position_covariance_scale,visual_available,vision_only_rank,pixel_u,pixel_v,peb_rf_m,peb_joint_m,zeb_rf_m,zeb_joint_m,gain_peb,gain_zeb
reference,nominal,30.0,20.0,1.0,1.0,0.2,1.0,1,2,320.0,304.0,1.2921028694710115,1.097351676108434,0.9268379248493034,0.8629824817886825,0.15072421706044875,0.06889601876293878
rf_quality,paired_log_level_0,30.0,20.0,0.5,0.25,0.2,1.0,1,2,320.0,304.0,0.6588215331257437,0.6480961445264405,0.47493814048587224,0.47083363467620626,0.01627965702398513,0.0086421903397082
rf_quality,paired_log_level_1,30.0,20.0,1.0,0.5,0.2,1.0,1,2,320.0,304.0,1.131875706545188,1.0899431113204048,0.8761525626299054,0.8621537542202725,0.03704699639925458,0.015977592267279687
rf_quality,paired_log_level_2,30.0,20.0,2.0,1.0,0.2,1.0,1,2,320.0,304.0,2.1609094903061576,2.0504098861100744,1.7134618804811612,1.6797802953949628,0.051135692953260946,0.019657037877457914
rf_quality,paired_log_level_3,30.0,20.0,4.0,2.0,0.2,1.0,1,2,320.0,304.0,4.268849806002482,4.02641578473575,3.407225385456382,3.3361526028051522,0.05679141508465402,0.02085943094771518
pose_quality,attitude_log_level_0,30.0,20.0,1.0,1.0,0.05,1.0,1,2,320.0,304.0,1.28055832622572,1.0837345166731511,0.9243696650378366,0.8603310424350358,0.15370155776713557,0.06927815248045764
pose_quality,attitude_log_level_1,30.0,20.0,1.0,1.0,0.0889139705,1.0,1,2,320.0,304.0,1.2822289051635098,1.0857079906676492,0.9247258756430595,0.8607137561460352,0.1532650790389102,0.06922280557198636
pose_quality,attitude_log_level_2,30.0,20.0,1.0,1.0,0.158113883,1.0,1,2,320.0,304.0,1.2874974741417677,1.0919251905163663,0.9258514105513467,0.8619228848076326,0.15190110082023103,0.06904836458114215
pose_quality,attitude_log_level_3,30.0,20.0,1.0,1.0,0.2811706626,1.0,1,2,320.0,304.0,1.3040180710543778,1.1113568308149964,0.9294016940148122,0.8657353716770482,0.14774430241108788,0.06850248148649206
pose_quality,attitude_log_level_4,30.0,20.0,1.0,1.0,0.5,1.0,1,2,320.0,304.0,1.3549357684033458,1.1706843350201344,0.9405404840840433,0.8776825320901848,0.1359853637935421,0.066831734579797
position_sensitivity,position_covariance_x4,30.0,20.0,1.0,1.0,0.2,4.0,1,2,320.0,304.0,1.4246156763475621,1.250672099735974,0.9894587100728169,0.929913309870417,0.12209859788820081,0.06017977263348144
reference,nominal,30.0,40.0,1.0,1.0,0.2,1.0,1,2,320.0,194.28571428571428,1.5587991869008806,1.136917043047457,0.9523042510275185,0.6717730711666419,0.27064560169048235,0.29458146339070596
rf_quality,paired_log_level_0,30.0,40.0,0.5,0.25,0.2,1.0,1,2,320.0,194.28571428571428,0.7134295324541071,0.6897913865879964,0.4242136924299123,0.40605187292476136,0.033133119377324424,0.042812902622542295
rf_quality,paired_log_level_1,30.0,40.0,1.0,0.5,0.2,1.0,1,2,320.0,194.28571428571428,1.221947764529531,1.1249368110557585,0.7357597996500168,0.6673208158749908,0.0793904259165474,0.09301810700663556
rf_quality,paired_log_level_2,30.0,40.0,2.0,1.0,0.2,1.0,1,2,320.0,194.28571428571428,2.3302049062438366,2.0718543295250704,1.4095685107596165,1.237448608688322,0.11087032562094001,0.12210822018047142
rf_quality,paired_log_level_3,30.0,40.0,4.0,2.0,0.2,1.0,1,2,320.0,194.28571428571428,4.601809336387087,4.0376809195058705,2.7873010245578578,2.4193740283590723,0.1225883941823887,0.1320011699336094
pose_quality,attitude_log_level_0,30.0,40.0,1.0,1.0,0.05,1.0,1,2,320.0,194.28571428571428,1.5403698058819637,1.11151455076475,0.9426591862056405,0.6580288853518961,0.27841058262737484,0.30194401647898705
pose_quality,attitude_log_level_1,30.0,40.0,1.0,1.0,0.0889139705,1.0,1,2,320.0,194.28571428571428,1.5430400130565631,1.115212060364541,0.9440556186499415,0.6600277901150091,0.2772630321131791,0.3008592109658856
pose_quality,attitude_log_level_2,30.0,40.0,1.0,1.0,0.158113883,1.0,1,2,320.0,194.28571428571428,1.5514537049473272,1.1268247673368361,0.9484579950893472,0.6663094184149608,0.2736974595222662,0.2974813625223406
pose_quality,attitude_log_level_3,30.0,40.0,1.0,1.0,0.2811706626,1.0,1,2,320.0,194.28571428571428,1.5777648838834775,1.1627843680170322,0.9622469881062979,0.6857951142573273,0.26301796934725846,0.2872982480236471
pose_quality,attitude_log_level_4,30.0,40.0,1.0,1.0,0.5,1.0,1,2,320.0,194.28571428571428,1.658222902947276,1.2698144169711632,1.0046068084446858,0.7440635135477315,0.2342317702196533,0.25934852591764007
position_sensitivity,position_covariance_x4,30.0,40.0,1.0,1.0,0.2,4.0,1,2,320.0,194.28571428571428,1.6702858752569414,1.2855272703337615,1.0133525479935812,0.7558300464685571,0.23035494140426244,0.25412922880088845
