family,level,altitude_m,horizontal_distance_m,range_std_m,aoa_std_deg,attitude_std_deg,position_covariance_scale,visual_available,vision_only_rank,pixel_u,pixel_v,peb_rf_m,peb_joint_m,zeb_rf_m,zeb_joint_m,gain_peb,gain_zeb
reference,nominal,30.0,20.0,1.0,1.0,0.2,1.0,1,2,320.0,304.0,1.2921028694710115,1.097351676108434,0.9268379248493034,0.8629824817886825,0.15072421706044875,0.06889601876293878
reference,nominal,30.0,40.0,1.0,1.0,0.2,1.0,1,2,320.0,194.28571428571428,1.5587991869008806,1.136917043047457,0.9523042510275185,0.6717730711666419,0.27064560169048235,0.29458146339070596
reference,nominal,30.0,60.0,1.0,1.0,0.2,1.0,1,2,320.0,133.33333333333331,1.9227749143869008,1.188429424653608,1.1749415388356292,0.5874234203737378,0.3819196330463087,0.5000402990638357
reference,nominal,30.0,80.0,1.0,1.0,0.2,1.0,1,2,320.0,94.54545454545453,2.3390500687743616,1.2512255174209566,1.4801422963124895,0.5783678456789734,0.4650710841446049,0.6092484843383817
reference,nominal,30.0,100.0,1.0,1.0,0.2,1.0,1,2,320.0,67.69230769230768,2.784264797679312,1.3240307999168834,1.8139983387867855,0.6105772313668648,0.5244594547830131,0.6634080537387795
reference,nominal,30.0,120.0,1.0,1.0,0.2,1.0,1,2,320.0,48.0,3.246534935817598,1.40542189896118,2.1588825832215868,0.664408351658754,0.5671009470879935,0.6922443319417156
reference,nominal,30.0,140.0,1.0,1.0,0.2,1.0,1,2,320.0,32.94117647058823,3.7195068358449372,1.4940527798496865,2.508629889791768,0.7297698025826278,0.5983196574740823,0.7090962658332979
reference,nominal,30.0,160.0,1.0,1.0,0.2,1.0,1,2,320.0,21.05263157894737,4.199566227699635,1.5887388440753516,2.8607859844022365,0.8015676916396736,0.6216897751019388,0.7198085784780711
reference,nominal,30.0,180.0,1.0,1.0,0.2,1.0,1,2,320.0,11.428571428571445,4.684534692613402,1.6884752819022566,3.2142519509459673,0.8771572025252437,0.6395639283951396,0.7271037815604054
reference,nominal,30.0,200.0,1.0,1.0,0.2,1.0,1,2,320.0,3.47826086956519,5.173031747272274,1.7924266414750736,3.568485610606077,0.9551003550530529,0.6535055787314247,0.7323513503278952
reference,nominal,45.0,20.0,1.0,1.0,0.2,1.0,1,2,320.0,363.0769230769231,1.4281596515572315,1.1213178800129202,1.0008858041869828,0.9413299947365042,0.21485116962220452,0.05950310135416058
reference,nominal,45.0,40.0,1.0,1.0,0.2,1.0,1,2,320.0,258.8235294117647,1.6733096157387304,1.1697444772630514,1.0514295393321682,0.8066473484951148,0.3009396071947903,0.23280893457923071
reference,nominal,45.0,60.0,1.0,1.0,0.2,1.0,1,2,320.0,194.28571428571428,2.0167234655342328,1.2281310256794624,1.2411638166178698,0.7178982400559908,0.39102656032510197,0.4215926774176839
reference,nominal,45.0,80.0,1.0,1.0,0.2,1.0,1,2,320.0,150.4,2.4168709914420745,1.2960639888478254,1.5191739956918648,0.6879865445951745,0.46374299934209445,0.5471311735547115
reference,nominal,45.0,100.0,1.0,1.0,0.2,1.0,1,2,320.0,118.62068965517241,2.84995449588885,1.3726738629999395,1.8375038324261903,0.7009205011259899,0.5183523579130596,0.6185474616395693
reference,nominal,45.0,120.0,1.0,1.0,0.2,1.0,1,2,320.0,94.54545454545456,3.3030439377224496,1.456887749537354,2.173761290932982,0.74063248782268,0.5589257130675885,0.6592852716110336
reference,nominal,45.0,140.0,1.0,1.0,0.2,1.0,1,2,320.0,75.67567567567568,3.7689310509663168,1.5476184609496422,2.518523993022377,0.7963138526567504,0.5893746953654544,0.6838172457904096
reference,nominal,45.0,160.0,1.0,1.0,0.2,1.0,1,2,320.0,60.48780487804879,4.243402722565487,1.6438688062681468,2.867653631773221,0.8615307191096649,0.6126059877544943,0.6995694634930736
reference,nominal,45.0,180.0,1.0,1.0,0.2,1.0,1,2,320.0,48.0,4.723872929211728,1.744770502581704,3.219194325688447,0.9325808909588356,0.630648298815935,0.7103061211567596
reference,nominal,45.0,200.0,1.0,1.0,0.2,1.0,1,2,320.0,37.55102040816328,5.2086819468391115,1.8495883267001831,3.5721520498061574,1.0073201950210569,0.6449028092754625,0.7180074697336248
reference,nominal,60.0,20.0,1.0,1.0,0.2,1.0,1,2,320.0,400.0,1.599310545639359,1.1497772907405175,1.0328217884181523,0.9747042903724575,0.2810794039497382,0.0562705964353311
reference,nominal,60.0,40.0,1.0,1.0,0.2,1.0,1,2,320.0,304.0,1.821570558935582,1.206947722244825,1.1131895969837193,0.8843257197286232,0.33741368605007876,0.20559289978564482
reference,nominal,60.0,60.0,1.0,1.0,0.2,1.0,1,2,320.0,240.0,2.141337845248525,1.2722439331391593,1.2963362294101932,0.8110392252554277,0.4058649194651011,0.3743604422562238
reference,nominal,60.0,80.0,1.0,1.0,0.2,1.0,1,2,320.0,194.28571428571428,2.521788972204333,1.3454818657592862,1.5580544105070055,0.7778921754193485,0.4664573917209335,0.5007284917821226
reference,nominal,60.0,100.0,1.0,1.0,0.2,1.0,1,2,320.0,160.0,2.939454857570407,1.4260229410649083,1.863525435333446,0.7817875153254479,0.5148682289192966,0.58047928914608
reference,nominal,60.0,120.0,1.0,1.0,0.2,1.0,1,2,320.0,133.33333333333331,3.3805699941847407,1.513095499144063,2.1913353186415234,0.8125669813709662,0.552414089414835,0.6291909437781975
reference,nominal,60.0,140.0,1.0,1.0,0.2,1.0,1,2,320.0,112.0,3.837055576610177,1.6058836178963376,2.530710156996524,0.8610917844728401,0.5814802298706745,0.6597430242684157
reference,nominal,60.0,160.0,1.0,1.0,0.2,1.0,1,2,320.0,94.54545454545453,4.304023803016588,1.7036024130592686,2.876355655275301,0.9209638678920672,0.6041837845168854,0.679815718823575
reference,nominal,60.0,180.0,1.0,1.0,0.2,1.0,1,2,320.0,80.0,4.778402419469982,1.8055414715479319,3.22558344755378,0.9880977464514686,0.6221453713920977,0.6936685215194719
reference,nominal,60.0,200.0,1.0,1.0,0.2,1.0,1,2,320.0,67.69230769230768,5.258186175325562,1.9110809078932716,3.5769614857398895,1.0599583953326448,0.6365513041624193,0.703670727359427
reference,nominal,75.0,20.0,1.0,1.0,0.2,1.0,1,2,320.0,425.2631578947369,1.7955479716417484,1.1822938013239483,1.048966541476655,0.9914555391381673,0.34154151267653116,0.054826345802725045
reference,nominal,75.0,40.0,1.0,1.0,0.2,1.0,1,2,320.0,337.3913043478261,1.9960755492351538,1.2478845687331492,1.1512732513733877,0.9302572342287597,0.3748309931398602,0.19197529073221448
reference,nominal,75.0,60.0,1.0,1.0,0.2,1.0,1,2,320.0,275.55555555555554,2.291620837871555,1.3198153449020884,1.3379998943357254,0.8749378474520918,0.4240690592917082,0.34608526416478474
reference,nominal,75.0,80.0,1.0,1.0,0.2,1.0,1,2,320.0,229.67741935483872,2.6505882210190475,1.3982694290828122,1.5922653716877095,0.8468002397075487,0.4724682551614025,0.4681789513452841
reference,nominal,75.0,100.0,1.0,1.0,0.2,1.0,1,2,320.0,194.28571428571428,3.050670935510382,1.4827768771206196,1.8889206351199004,0.8488192502848501,0.513950567443765,0.5506326552301279
reference,nominal,75.0,120.0,1.0,1.0,0.2,1.0,1,2,320.0,166.15384615384616,3.4777078345737653,1.5727729294892612,2.2097170305562295,0.8755122832560335,0.5477558770597464,0.603789864878921
reference,nominal,75.0,140.0,1.0,1.0,0.2,1.0,1,2,320.0,143.25581395348837,3.9229062944542514,1.6676656090072808,2.5440743989455816,0.9199231722753112,0.5748902767917673,0.6384055542335622
reference,nominal,75.0,160.0,1.0,1.0,0.2,1.0,1,2,320.0,124.25531914893615,4.380732723415903,1.7668685436818283,2.886222150094058,0.9763537046569439,0.5966728273017986,0.6617191422271061
reference,nominal,75.0,180.0,1.0,1.0,0.2,1.0,1,2,320.0,108.23529411764704,4.847610543295544,1.8698303371571985,3.233004418681758,1.0407954078875283,0.6142779374586403,0.6780717644945541
reference,nominal,75.0,200.0,1.0,1.0,0.2,1.0,1,2,320.0,94.54545454545453,5.321157782988436,1.976052402274135,3.582648787469958,1.1105959016439115,0.6286423964740326,0.6900070401742598
reference,nominal,90.0,20.0,1.0,1.0,0.2,1.0,1,2,320.0,443.6363636363636,2.0095359866289204,1.2185581126083707,1.0581408333023818,1.0009238574377728,0.3936121966879766,0.05407311963005809
reference,nominal,90.0,40.0,1.0,1.0,0.2,1.0,1,2,320.0,363.0769230769231,2.1905615630117072,1.2920584940886697,1.1755572861059709,0.9587773447402956,0.41017019749389055,0.18440610587660766
