frame,true_mahalanobis_squared,covered,guided_correct,unguided_correct,guided_selected,served_index,belief_u_px,belief_v_px,true_u_px,true_v_px
0,0.9187988432145641,1,1,0,0,0,474.92691112339384,277.86480967080325,479.17919389518556,266.6539640623998
1,0.4718098161904831,1,1,0,2,2,480.93883347555237,269.95717131365666,477.43311919903783,261.7610844912163
2,0.34027898946548096,1,1,0,1,1,481.90064839386605,261.2513660140665,474.97515395592336,257.1472183854429
3,0.18385008604073638,1,1,0,0,0,467.73419408689483,256.59718359190407,471.93189012924176,253.0149055290023
4,0.3268081529483633,1,1,0,2,2,466.5929484757511,242.67902049447991,468.4370729769808,249.51593969097968
5,1.7020333249348365,1,1,0,1,1,475.12003454392266,260.2712724328767,464.6382991755298,246.77908711001035
6,0.9939003650113519,1,1,0,0,0,457.70403022067325,233.09265533049432,460.68932824389,244.90057605795198
7,2.5351177268727487,1,1,0,2,2,476.79818520218,252.5625319875138,456.74517179636246,243.94499030721184
8,0.33726367758623554,1,1,0,1,1,445.60459776719443,245.25655495247892,452.9582098364008,243.94503971042704
9,4.638722349953097,1,1,0,0,0,441.1231560534204,269.37591362415066,449.4748995158216,244.90037062989842
10,0.49094138727698694,1,1,0,2,2,449.8810841648059,254.67944137515144,446.43213578837344,246.7786793319933
11,3.929944000437164,1,1,0,1,1,419.6413581108665,250.03112295632855,443.9537051557013,249.5157961000071
12,0.15475431311466517,1,1,0,0,0,447.1066198768518,254.16972604768912,442.14668188316807,253.0147474418264
13,0.15431207310883888,1,1,0,2,2,437.31241931225566,260.1266859990234,441.096929044557,257.14721612833137
14,2.5313729905782196,1,1,0,1,1,421.41177627135045,259.255491690796,440.8644694253396,261.75537335278256
15,4.240950471927486,1,1,0,0,0,441.63682996608543,242.00878374790793,441.4788508557922,266.6540905916795
16,5.261232120610588,1,0,0,-1,2,456.80004732786404,246.91549673445033,442.93464708114095,271.6367305642258
17,0.2057253742418817,1,1,0,1,1,448.7363296086065,272.2006130007711,445.18808726028635,276.4819985644186
18,3.4900549314150546,1,1,0,0,0,430.4355424519509,266.0105368885685,448.1553621817832,280.964459758569
19,1.3926386162112192,1,1,0,2,2,457.28625805438264,271.53427793225467,451.713372123197,284.8652198941113
20,0.4918250887168052,1,1,0,1,1,446.4882617809688,285.47283290506556,455.5035131893681,286.8400177292136
21,2.631246319520484,1,1,0,0,0,442.6038843800638,277.63765005885796,461.1753256626554,287.2298567288429
22,2.554544845440376,1,1,0,2,2,471.65699004493524,265.03339875685083,471.12369841658347,284.8937736971874
23,1.2188051696081734,1,1,0,1,1,483.325395764562,271.16385848322125,478.0470580341176,284.0956339355813
24,1.0620041528061495,1,1,0,0,0,468.7421079798637,279.9096579025436,482.60066476336345,282.4773651512549
25,0.8578534592921389,1,1,0,2,2,477.0002240036995,272.20961500061026,486.97357944024066,279.9406814584618
26,0.10147064663184124,1,1,0,1,1,493.7377646254147,275.8584021701292,489.2458993533495,276.5733027091104
27,3.243924475058278,1,1,0,0,0,503.7014949226725,251.5554130698508,491.39066919545894,272.009678448194
28,1.6270957495030771,1,1,0,2,2,479.11172122875,256.0830238089884,491.57885938656005,267.7211976496294
29,0.08495422650113088,1,1,0,1,1,495.242496698452,260.9290849564764,491.5894944695675,262.7165670331701
