frame,detections,served_detected,association_correct,visual_update,rf_error_3d_m,fused_error_3d_m,rf_error_z_m,fused_error_z_m
10,16,1,1,1,1.8145790589169914,1.8192508239339205,1.3892214997265093,1.5535456077610772
11,16,1,1,1,2.280764344213644,0.5083712924190161,0.10465080581270891,0.22971271626730172
12,16,1,1,1,1.823229938018956,1.1685708782958117,0.9879970995776723,0.8726809143238696
13,16,1,1,1,2.759858343203227,0.511434820038068,0.914742297656457,0.14107883385687497
14,16,1,1,1,2.28957111022811,0.7802948271566824,0.6593972303276157,0.08158120243429015
15,16,1,1,1,1.3507481553733653,0.4302084183763979,0.2368282776062287,0.35598006385496284
16,16,1,1,1,1.4938368317946802,1.2715366041321041,0.6595878011050584,0.8955972503846559
17,16,1,1,1,0.5208932534736912,0.5836156850710097,0.20608130926974644,0.4525400177528235
18,16,1,1,1,2.49518094575962,0.33937338343820594,1.4324254996654673,0.11653056504792103
19,16,1,1,1,2.356745464971736,0.6739776982043678,1.633499685783423,0.4413147066046728
20,16,1,1,1,1.1143314299994223,0.8045859593359677,0.21751178188595133,0.7262231230186504
21,16,1,1,1,0.5455490403504303,0.7042641002133753,0.36185065453874965,0.06286696088869348
22,16,1,1,1,1.354715376902656,0.8044737409019771,0.02130931851373985,0.6590431358212894
23,16,1,0,1,2.345298420033836,2.2518656558954637,0.3316608755990962,0.15214053701007013
24,17,1,1,1,1.120664050980864,0.9556172251751548,0.4305849118297367,0.7900368657011247
25,17,1,1,1,0.8094667093579133,0.6829803421008092,0.7670441095804019,0.5462022609207406
26,17,1,1,1,1.1197401739794437,0.9506121467149552,0.41120166018523574,0.4450714399825666
27,17,1,1,1,3.068488759750424,0.6579508383133019,0.41580451221149994,0.22366635053930373
28,17,1,1,1,1.4074427807407432,1.1295280775675438,0.20442872201688234,0.30126479370937265
29,17,1,1,1,2.982945785179125,0.40581759265160827,1.3886445637047027,0.2945644657415398
