frame,visual_update,association_correct,rf_error_3d_m,fused_error_3d_m,rf_error_z_m,fused_error_z_m
10,1,1,4.140309107491825,3.9422014159216374,3.6213808648162376,3.1527369729526056
11,1,1,3.2627870943331696,0.7193030521248597,2.6366151990350333,0.6733198431145138
12,1,1,1.4000100615171733,1.447165858523692,0.08020707298055285,1.0271200806865264
13,1,1,2.04445280386183,0.552061534872171,0.7612729347820768,0.07760564078952878
14,1,1,1.681004696168958,1.8033895683411272,0.5100868739186903,1.056963498411224
15,1,1,3.9039836127667527,2.240138655282285,3.4583576378656566,1.8056716317456516
16,1,1,1.7799628669321788,0.9724818115010144,1.2097805186750077,0.6981573459666905
17,1,1,2.7165744358813466,2.3817242208118645,0.2805738878317734,1.9450672838634955
18,1,1,1.657691206814354,2.2509440824203493,0.7347542502142581,2.1341520070297064
19,1,1,3.653882329329506,1.704465557087169,3.2363245648166736,1.6305999885411162
